visual_reaction_time,auditory_reaction_time,,
311.07,288.34,,
296.54,241.83,,
307.93,286.27,,
291.55,236.58,,
307.55,282.21,,
313.7,272.78,,
315.87,258.5,,
315.88,251.95,,
322.16,269.31,,
320.8,272.77,,
301.53,265.14,,
299.46,265.51,,
312.82,281.95,,
326.04,240.53,,
301.55,250.17,,
303.11,254.66,,
309.39,269.06,,
316.18,275.82,,
322.3,263.13,,
319.66,275.04,,
336.25,248.58,,
293.45,249.26,,
320.64,266.32,,
315.61,273.25,,
330.47,223.31,,
277.43,269.28,,
306.13,285.58,,
306.97,286.45,,
305.1,255.4,,
297.07,239.47,,
312.69,282.91,,
292.59,254.02,,
314.89,268.08,,
302.88,279.47,,
310.96,273.45,,
314.47,258.36,,
325.86,259.66,,
325.94,268.29,,
272.21,264.35,,
315.15,257.14,,
299.42,269.75,,
331.59,264.98,,
321.74,269.88,,
299.01,286.77,,
294.3,253.85,,
297.12,275.12,,
302.33,262.62,,
293.56,238.07,,
284.8,265.72,,
326.22,259.02,,
321.46,242.67,,
324.76,269.02,,
309.97,289.15,,
312.94,267,,
314.62,281.14,,
292.21,234.13,,
318.88,264.22,,
275.27,237.73,,
314.23,263.31,,
313.97,266.68,,
274.65,237.26,,
313.95,275.26,,
317.64,240.8,,
318.03,278.62,,
271.03,237.11,,
304.36,278.55,,
278.98,239.72,,
313.26,283.7,,
320,276.97,,
334.57,243.86,,
318.78,264.26,,
266.46,224.12,,
306.99,252.14,,
288.6,251.54,,
333.73,259.61,,
314.1,268.97,,
308,259.8,,
293.8,289.3,,
301.47,244.49,,
314.21,217.82,,
315.23,261.5,,
308.76,282.26,,
301.21,285.03,,
302.69,290.65,,
313.37,258.47,,
310.58,268.47,,
338.07,255.35,,
306.45,227.11,,
305.79,268.89,,
281.11,237.1,,
307.24,291.06,,
296.77,293.64,,
302.75,284.86,,
358.54,236.56,,
317.83,272.4,,
307.35,277.24,,
330.09,268.76,,
319.97,265.91,,
339.72,246.07,,
309.74,273.91,,
321.28,278.58,,
304.02,279.06,,
271.39,259.63,,
303.88,275.88,,
326.35,257.63,,
353.31,246.25,,
289.5,238.25,,
304.38,294.44,,
360.36,232.6,,
292.47,256.73,,
299.53,281.3,,
308.51,254.1,,
317.38,251.65,,
331.36,265.3,,
273.11,264.02,,
322.52,270.25,,
275.8,249.01,,
311.62,232.48,,
302.96,264.33,,
335.62,261.47,,
317,258.39,,
288.19,258.85,,
281.81,273.57,,
341.18,251.52,,
345.59,229.58,,
276.39,254.08,,
314.19,252.44,,
312.92,264.75,,
362,226.84,,
277.33,245.2,,
309.68,271.75,,
290.96,259.28,,
321.75,272.26,,
315.01,248.11,,
333.61,265.88,,
335.43,258.93,,
321.25,277.88,,
322.47,269.8,,
315.48,276.46,,
284.87,261.45,,
313.03,251.6,,
295.04,241.44,,
305.01,262.11,,
332.16,259.85,,
301.44,292.48,,
297.61,238.62,,
292.25,237.46,,
294.75,269.25,,
282.17,276.8,,
334.78,263.2,,
328.8,270.87,,
318.88,276.15,,
313.45,279.89,,
282.37,241.81,,
294.7,240.97,,
295.96,258.99,,
310.16,277.7,,
289.38,287.18,,
304.34,269.19,,
319.31,256.88,,
310.53,286.62,,
296.68,295.63,,
356.69,240.7,,
308.32,258.71,,
312.86,278.05,,
289.64,256.92,,
321.31,265.41,,
342.02,237.61,,
282.88,250.48,,
321.43,274.82,,
288.65,258.14,,
304.14,288.22,,
324.65,252.13,,
303.87,246.8,,
321.32,263.9,,
302.4,290.56,,
296.93,274.65,,
320.02,273.35,,
307.93,290.1,,
295.29,271.38,,
293.49,273.02,,
325.7,261.03,,
296.08,264.83,,
317.26,242.87,,
315.45,267.63,,
305.6,249.76,,
299.62,241.86,,
281.41,222.42,,
282.28,257.97,,
283.13,241.15,,
303.43,270.93,,
281.97,248.49,,
338.25,251.46,,
334.08,259.94,,
319.51,258,,
315.37,252.03,,
304.49,272.29,,
292.74,257.29,,
326.18,272.71,,
294.17,289.69,,
275,248.99,,
306.92,279.49,,
326.13,251.61,,
295.26,236.83,,
298.79,234.47,,
315.43,255.24,,
305.6,247.63,,
320.25,279.51,,
250.36,235.82,,
317.89,268.65,,
326.31,256.79,,
293.32,238.72,,
312.02,261.4,,
291.91,234.89,,
309.13,287.52,,
351.9,245.75,,
314.83,255.17,,
282.68,256.32,,
295.02,251.66,,
314.15,228,,
269.31,247.89,,
311.05,262.11,,
332.27,262.47,,
316.25,277.94,,
322.43,267.03,,
304.65,288.2,,
299.82,263.99,,
308.02,253.41,,
308.87,285.31,,
292.2,282.1,,
269.75,248.31,,
272.36,243.35,,
308.61,249.83,,
304.61,270.33,,
329.61,242.15,,
316.26,278.66,,
313.48,267.73,,
286.75,240.26,,
291.5,223.96,,
322.25,256.87,,
301.87,211.82,,
288.51,276.96,,
310.7,288.7,,
309.42,268.07,,
331.27,259.65,,
326.63,271.56,,
312.95,275.49,,
299.15,289.1,,
296.73,286.41,,
314.67,281.77,,
312.46,255.92,,
321.61,270.07,,
323.46,262.14,,
295.13,244.4,,
238.57,212.94,,
299.21,288.74,,
340.73,236.84,,
340.76,224.79,,
298.83,257.25,,
289.96,268.9,,
308.34,282.86,,
278.42,226.18,,
281.09,248.55,,
309.24,289.09,,
311.98,278.09,,
338.66,259.06,,
327.17,262.23,,
308.93,255.57,,
286.79,242.56,,
320.64,258.86,,
295.95,273.88,,
302.18,245.6,,
328.89,266.63,,
299.94,253.1,,
308.2,271.58,,
330.26,259.59,,
289.68,240.05,,
320.4,277.13,,
308.55,289.75,,
310.41,285.87,,
322.23,266.96,,
294.25,274.74,,
254.02,211.08,,
297.89,259.46,,
313.09,240.88,,
338.57,260.25,,
307.74,282.89,,
308.39,259.59,,
336.05,242.37,,
315.04,270.74,,
359.43,230.43,,
316.63,268.49,,
326.27,271.66,,
307.89,254.25,,
275.58,254.47,,
304.41,280.64,,
315.83,268.31,,
301.99,277.91,,
327.57,268.17,,
304.44,279.84,,
310.64,254.94,,
259.25,251.52,,
355.07,217.96,,
302.08,262.67,,
249.22,226.67,,
301.95,237.59,,
303.7,293.71,,
290.88,221.36,,
331.99,253.17,,
307.64,278.52,,
314.84,260.68,,
339.19,253.33,,
316.11,239.97,,
323.38,267.79,,
313.16,263.73,,
331.41,242.63,,
316.27,240.74,,
338.62,256.66,,
305.33,265.96,,
338.01,230.83,,
305.46,280.24,,
314.52,261.61,,
290.65,262.41,,
304.13,293.42,,
314.48,269.68,,
310.47,277.98,,
307.67,268.38,,
315.13,280.31,,
276.32,238.47,,
302.2,252.49,,
292.91,247.48,,
298.22,262.7,,
322.39,260.48,,
317.77,262.63,,
330.82,240.77,,
261.75,208.61,,
304.22,293.86,,
313.2,272.2,,
276.56,260.39,,
305.05,253.26,,
323.84,257.56,,
275.86,224.18,,
308.72,261.68,,
284.49,269.73,,
292.33,283.17,,
317.94,276.63,,
299.12,247.4,,
292.39,272.84,,
323.37,260.78,,
336.84,259.67,,
312.47,258.98,,
298.08,281.83,,
325.31,271.13,,
304.36,278.53,,
317.73,270.28,,
307.31,232.27,,
316.19,277.74,,
326.68,224.91,,
319.95,277.5,,
300.45,265.71,,
289.8,274.57,,
279.1,242.74,,
286.29,234.28,,
317.49,260.26,,
307.56,252.61,,
339.66,227.24,,
315.96,265.45,,
297.12,284.45,,
296.36,246.95,,
312.61,251.32,,
289.71,280.04,,
305.17,278.34,,
325.46,272.64,,
299.49,260.3,,
305.85,275.64,,
281.96,237.2,,
297.8,247.24,,
252.44,218.39,,
340.14,257.75,,
287.49,247.46,,
317.18,257.58,,
264.08,213.52,,
306.61,293.2,,
332.44,263.98,,
295.63,235.64,,
295.46,260.74,,
315.41,245.53,,
297.73,255.73,,
314.11,269.31,,
339.19,252,,
317.4,262.01,,
311.41,278.46,,
305.21,272.57,,
293.32,287.57,,
303.25,285.65,,
288.15,274.19,,
245.67,188.38,,
281.88,224.81,,
302.98,255.92,,
295.85,287.1,,
299.17,263.76,,
267.66,237.34,,
338.66,252.24,,
291.36,252.55,,
301.5,286.8,,
320.5,238.31,,
317.45,247.06,,
294.35,238.98,,
317.24,278.39,,
303.27,294.08,,
306.45,270.79,,
265.95,213.89,,
295.28,261.34,,
320.73,259.46,,
315.92,265.27,,
305.93,249.83,,
326.78,261.98,,
278.53,274.49,,
306.05,272.86,,
320.66,237.22,,
309.02,286.69,,
298.65,278.29,,
284.59,260.25,,
291.83,262.65,,
270.8,261.17,,
340.39,221.76,,
311.13,285.74,,
318.71,280.58,,
313.91,278.09,,
308.25,270.55,,
307.05,232.26,,
326.98,259.58,,
295.17,260.35,,
303.37,235.34,,
302.3,252.58,,
308.76,275.28,,
323.12,272.19,,
303.08,248.85,,
308.05,278.6,,
276.88,239.04,,
303.93,283.3,,
321.5,276.33,,
277.14,228.85,,
273.5,258.26,,
324.67,267.74,,
293.9,257.25,,
304.08,290.69,,
291.77,288.54,,
333.04,260.72,,
304.3,290.14,,
279.88,247.21,,
305.17,281.31,,
338.39,256.39,,
266.8,234.95,,
295.54,264.12,,
294.56,276.23,,
308.51,289.52,,
276.42,227.01,,
329.01,247.18,,
296.5,217.91,,
272.09,250.65,,
305,272.87,,
276.73,254.52,,
273.99,237.58,,
293.91,256.43,,
306.17,275.69,,
280.47,230.34,,
336.36,252.06,,
274.57,261.37,,
251.72,244.42,,
297.99,261.82,,
312.48,262.13,,
258.83,244.31,,
299.04,286.07,,
329.41,253.29,,
319.92,247.66,,
310.85,286.49,,
322.2,275.58,,
303.82,258.68,,
319.27,245.36,,
306.61,274.44,,
326.12,253.75,,
322.53,234.55,,
336.12,255.91,,
333.42,254.53,,
296.7,239.78,,
304.47,272.38,,
321.57,260.3,,
328.33,252.02,,
325.8,264.51,,
305.36,266.45,,
307.65,272.18,,
310.9,280.08,,
297.54,247.58,,
326.88,257.14,,
291.01,233.54,,
325.87,215.62,,
308.12,276,,
310.36,281.02,,
309.53,272.27,,
296.65,295.23,,
325.56,270.14,,
311.25,286.73,,
323.09,266.96,,
331.91,267.64,,
302.09,288.02,,
287.92,244.2,,
363.48,231.16,,
329.3,252.13,,
309.88,267.63,,
323.32,254.65,,
287.54,239.36,,
313.48,253.13,,
288.37,281.98,,
276.25,240.79,,
297.64,258.09,,
